timestamp,co_m,eth_m,voc_m,no2,c2h50h_gm,voc_gm,co_gm
42200,15.96,18.43,5.80,0.74,0.67,0.23,0.06
42300,14.94,16.90,5.38,0.74,0.67,0.23,0.06
42400,15.45,17.66,5.59,0.74,0.67,0.23,0.06
42500,15.96,18.43,5.80,0.74,0.67,0.23,0.06
42600,14.94,16.90,5.38,0.74,0.67,0.23,0.06
42700,15.45,17.66,5.59,0.74,0.67,0.22,0.06
42800,16.47,19.21,6.01,0.74,0.67,0.22,0.06
42900,15.96,18.43,5.80,0.74,0.67,0.22,0.06
43000,14.94,16.90,5.38,0.74,0.67,0.22,0.06
43100,14.94,16.90,5.38,0.74,0.67,0.22,0.06
43200,15.96,18.43,5.80,0.74,0.67,0.22,0.06
43300,15.45,17.66,5.59,0.74,0.67,0.22,0.06
43400,15.45,17.66,5.59,0.74,0.67,0.22,0.06
43500,15.96,18.43,5.80,0.74,0.67,0.22,0.06
43600,14.94,16.90,5.38,0.74,0.67,0.22,0.06
43700,14.94,16.90,5.38,0.74,0.67,0.22,0.06
43800,14.94,16.90,5.38,0.74,0.67,0.22,0.06
43900,15.96,18.43,5.80,0.74,0.67,0.22,0.06
44000,15.45,17.66,5.59,0.74,0.67,0.22,0.06
44100,14.94,16.90,5.38,0.74,0.67,0.22,0.06
44200,14.94,16.90,5.38,0.74,0.67,0.22,0.06
44300,15.45,17.66,5.59,0.74,0.67,0.22,0.06
44400,14.94,16.90,5.38,0.73,0.67,0.22,0.06
